uf,pedidos,receita,prazo_medio_dias,pct_atraso,nota_media
AC,80,15931.0,21.0,3.8,4.09
AL,397,78856.0,24.5,23.9,3.85
AM,145,22156.0,26.4,4.1,4.24
AP,67,13375.0,27.2,4.5,4.24
BA,3256,493584.0,19.3,14.0,3.93
CE,1279,219757.0,21.3,15.3,3.94
DF,2080,296498.0,13.0,7.1,4.13
ES,1995,268643.0,15.8,12.2,4.08
GO,1957,282837.0,15.6,8.2,4.1
MA,717,117009.0,21.6,19.7,3.83
MG,11354,1552482.0,12.0,5.6,4.19
MS,701,115430.0,15.6,11.6,4.16
MT,886,152192.0,18.1,6.8,4.15
PA,946,174471.0,23.8,12.4,3.91
PB,517,112587.0,20.4,11.0,4.08
PE,1593,251889.0,18.4,10.8,4.08
PI,476,84721.0,19.5,16.0,3.99
PR,4923,666064.0,12.0,5.0,4.24
RJ,12350,1759651.0,15.3,13.5,3.96
RN,474,82106.0,19.3,10.8,4.15
RO,243,45683.0,19.4,2.9,4.17
RR,41,7057.0,29.4,12.2,3.9
RS,5344,728718.0,15.3,7.1,4.19
SC,3546,507012.0,15.0,9.8,4.13
SE,335,56574.0,21.5,15.2,3.91
SP,40494,5066563.0,8.8,5.9,4.25
TO,274,48403.0,17.7,12.8,4.15
